"Web of Science cites thru 2010",0.654883677054617,0.719687129815535,0.85411307956511
"Web of Science cites thru 2011",1,1,1
"Scopus cites",0.61377791547664,0.617132390893961,0.721501289096178
"PubMed Central cites",0.48173151941209,0.54561912252196,0.700941818447869
"CrossRef cites",0.569655387721909,0.542793058368367,0.743353645063357
"PDF downloads",0.561220285089772,0.584376990166789,0.647991348303369
"HTML pageviews",0.339906657165268,0.505324597674964,0.502323842479475
"Mendeley saves",0.301901276389165,0.429898095086202,0.419111082668666
"CiteULike saves",0.154391815993815,0.228204763796667,0.361737547508103
"PLoS comments",0.0806540582960765,0.00930769717890669,0.205130715169931
"PLoS comment responses",0.0788834744988118,NA,NA
"Delicious bookmarks",0.0766979339491195,0.125706253712011,0.0948385071112875
"Blog mentions",0.0546138838370177,NA,0.166340132214143
"Facebook comments",0.0258466679092218,0.0793993390806854,0.152171166409388
"Facebook likes",0.0493296390828724,0.060128827272224,0.163100248176943
"Facebook shares",0.0597568018036609,0.182575395381381,0.132861381046637
"Facebook clicks",0.0109920187217022,NA,NA
"F1000 rating",0.112044819048868,0.118236587133033,0.198224210788490
"Wikipedia cites",0.0838076045478251,0.374863002208104,0.152887595455610
"Twitter mentions",0.0515179174940362,NA,NA
